,Civilité,Year,Type,section,Nationalité,ISO_code
154,Mister,2009-2010,Master,Microengineering,Swiss,
155,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
156,Miss,2009-2010,Master,Architecture,Swiss,
157,Mister,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
158,Mister,2009-2010,Bachelor,Mechanical Engineering,Moroccan,
159,Mister,2009-2010,Master,Bioengineering,Lebanese,
160,Mister,2009-2010,Master,Communication Systems,luxembourgish,
161,Miss,2009-2010,Master,Bioengineering,French,
162,Mister,2009-2010,Bachelor,Life Sciences and Technologies,Cameroonian,
163,Mister,2009-2010,Master,Mechanical Engineering,Swiss,
164,Mister,2009-2010,Master,Computer Science,French,
165,Miss,2009-2010,Master,Bioengineering,French,
166,Miss,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
167,Mister,2009-2010,Master,Architecture,Swiss,
168,Mister,2009-2010,Master,Microengineering,Swiss,
169,Mister,2009-2010,Master,Bioengineering,Swiss,
170,Mister,2009-2010,Bachelor,Mathematics,Swiss,
171,Mister,2009-2010,Master,Civil Engineering,Swiss,
172,Miss,2009-2010,Master,Architecture,American,
173,Mister,2009-2010,Master,Bioengineering,Swiss,
174,Mister,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
175,Miss,2009-2010,Master,Architecture,Swiss,
176,Miss,2009-2010,Master,Architecture,Swiss,
177,Miss,2009-2010,Master,Architecture,Swiss,
178,Mister,2009-2010,Master,Architecture,Swiss,
179,Miss,2009-2010,Master,Architecture,Swiss,
180,Mister,2009-2010,Master,Architecture,Swiss,
181,Mister,2009-2010,Master,Architecture,Swiss,
182,Mister,2009-2010,Master,Civil Engineering,Swiss,
183,Mister,2009-2010,Master,Architecture,Japanese,
184,Miss,2009-2010,Master,Architecture,Swiss,
185,Miss,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
186,Mister,2009-2010,Master,Architecture,Swiss,
187,Mister,2009-2010,Master,Computer Science,Swiss,
188,Mister,2009-2010,Master,Mathematics,Swiss,
189,Miss,2009-2010,Master,Physics,Swiss,
190,Mister,2009-2010,Bachelor,Mechanical Engineering,Swiss,
191,Mister,2009-2010,Master,Life Sciences and Technologies,Irish,
192,Mister,2009-2010,Master,Architecture,kosovar,
193,Mister,2009-2010,Master,Architecture,Swiss,
194,Mister,2009-2010,Master,Civil Engineering,Swiss,
195,Mister,2009-2010,Master,Architecture,Swiss,
196,Miss,2009-2010,Master,Architecture,Swiss,
197,Mister,2009-2010,Master,Computer Science,Swiss,
198,Miss,2009-2010,Master,Chemical Engineering and Biotechnology,Swiss,
199,Mister,2009-2010,Master,Civil Engineering,French,
200,Mister,2009-2010,Master,Physics,French,
201,Mister,2009-2010,Master,Mechanical Engineering,Swiss,
202,Mister,2009-2010,Master,Architecture,Swiss,
203,Miss,2009-2010,Master,Bioengineering,Swiss,
204,Mister,2009-2010,Master,Materials Science and Engineering,Swiss,
205,Mister,2009-2010,Master,Civil Engineering,Swiss,
206,Mister,2009-2010,Master,Communication Systems,Swiss,
207,Mister,2009-2010,Master,Life Sciences and Technologies,French,
208,Mister,2009-2010,Master,Materials Science and Engineering,Serbian,
209,Mister,2009-2010,Bachelor,Civil Engineering,Swiss,
210,Mister,2009-2010,Master,Architecture,French,
211,Mister,2009-2010,Master,Chemical Engineering and Biotechnology,Swiss,
212,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,Swiss,
213,Mister,2009-2010,Master,Civil Engineering,Swiss,
214,Miss,2009-2010,Bachelor,Architecture,French,
215,Mister,2009-2010,Master,Bioengineering,Swiss,
216,Miss,2009-2010,Bachelor,Architecture,Swiss,
217,Mister,2009-2010,Master,Communication Systems,Lebanese,
218,Mister,2009-2010,Master,Computer Science,Swiss,
219,Mister,2009-2010,Bachelor,Physics,Swiss,
220,Mister,2009-2010,Master,Microengineering,Swiss,
221,Mister,2009-2010,Master,Mechanical Engineering,Swiss,
222,Mister,2009-2010,Master,Architecture,French,
223,Mister,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
224,Mister,2009-2010,Master,Physics,Swiss,
225,Mister,2009-2010,Master,Financial engineering,Swiss,
226,Mister,2009-2010,Master,Communication Systems,Swiss,
227,Mister,2009-2010,Bachelor,Architecture,French,
228,Mister,2009-2010,Master,Chemical Engineering and Biotechnology,Swiss,
229,Mister,2009-2010,Bachelor,Architecture,Swiss,
230,Mister,2009-2010,Master,Architecture,Swiss,
231,Mister,2009-2010,Master,Life Sciences and Technologies,Swiss,
232,Mister,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
233,Miss,2009-2010,Master,Architecture,Swiss,
234,Mister,2009-2010,Master,Architecture,French,
235,Mister,2009-2010,Master,Applied Physics,luxembourgish,
236,Mister,2009-2010,Master,Civil Engineering,French,
237,Mister,2009-2010,Master,Civil Engineering,French,
238,Miss,2009-2010,Master,Architecture,Swiss,
239,Mister,2009-2010,Master,Architecture,Swiss,
240,Mister,2009-2010,Master,Computer Science,Swiss,
241,Mister,2009-2010,Master,Architecture,Swiss,
242,Mister,2009-2010,Master,Architecture,Swiss,
243,Mister,2009-2010,Master,Civil Engineering,Swiss,
244,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Swiss,
245,Mister,2009-2010,Master,Civil Engineering,Swiss,
246,Mister,2009-2010,Master,Architecture,Swiss,
247,Mister,2009-2010,Master,Environmental Sciences and Engineering,Swiss,
248,Mister,2009-2010,Master,Computer Science,Swiss,
249,Mister,2009-2010,Master,Computer Science,Swiss,
250,Mister,2009-2010,Master,Mechanical Engineering,Swiss,
251,Mister,2009-2010,Master,Communication Systems,Swiss,
252,Mister,2009-2010,Master,Communication Systems,Tunisian,
253,Miss,2009-2010,Master,Architecture,Swiss,
254,Miss,2009-2010,Bachelor,Architecture,Swiss,
255,Miss,2009-2010,Master,Chemical Engineering and Biotechnology,Swiss,
256,Mister,2009-2010,Master,Architecture,Swiss,
257,Mister,2009-2010,Master,Architecture,Swiss,
258,Miss,2009-2010,Master,Financial engineering,Swiss,
259,Mister,2009-2010,Master,Civil Engineering,Swedish,
260,Mister,2009-2010,Master,Molecular & Biological Chemistry,Swiss,
261,Mister,2009-2010,Master,Civil Engineering,Swiss,
262,Mister,2009-2010,Master,Communication Systems,Swiss,
263,Mister,2009-2010,Master,Bioengineering,Swiss,
264,Miss,2009-2010,Master,Life Sciences and Technologies,Swiss,
265,Miss,2009-2010,Master,Life Sciences and Technologies,Swiss,
266,Miss,2009-2010,Master,Bioengineering,moldave,
267,Mister,2009-2010,Bachelor,Chemistry and Chemical Engineering,Tunisian,
268,Miss,2009-2010,Bachelor,Architecture,Tunisian,
269,Mister,2009-2010,Master,Communication Systems,Bolivian,
270,Mister,2009-2010,Master,Microengineering,Tunisian,
271,Miss,2009-2010,Master,Mathematics,Tunisian,
272,Mister,2009-2010,Master,Mechanical Engineering,Tunisian,
273,Miss,2009-2010,Master,Environmental Sciences and Engineering,German,
274,Miss,2009-2010,Master,Environmental Sciences and Engineering,French,
275,Mister,2009-2010,Bachelor,Architecture,Brazilian,
276,Mister,2009-2010,Bachelor,Environmental Sciences and Engineering,French,
277,Mister,2009-2010,Bachelor,Architecture,kosovar,
278,Mister,2009-2010,Master,Mechanical Engineering,Algerian,
279,Mister,2009-2010,Master,Civil Engineering,Beninese,
280,Mister,2009-2010,Bachelor,Microengineering,Moroccan,
281,Mister,2009-2010,Master,Electrical and Electronics Engineering,Belgian,
282,Mister,2009-2010,Bachelor,Computer Science,Senegalese,
283,Miss,2009-2010,Master,Bioengineering,Cameroonian,
284,Mister,2009-2010,Bachelor,Architecture,Moroccan,
285,Mister,2009-2010,Master,Mechanical Engineering,luxembourgish,
286,Mister,2009-2010,Master,Microengineering,French,
287,Miss,2009-2010,Bachelor,Architecture,Swiss,
288,Miss,2009-2010,Bachelor,Chemistry and Chemical Engineering,Peruvian,
