,Civilité,Year,Type,section,Nationalité,ISO_code
28960,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
28961,Mister,2013-2014,Master,Architecture,Italian,
28962,Mister,2013-2014,Bachelor,Architecture,Swiss,
28963,Mister,2013-2014,Master,Civil Engineering,Swiss,
28964,Mister,2013-2014,Master,Architecture,Swiss,
28965,Mister,2013-2014,Master,Microengineering,Swiss,
28966,Mister,2013-2014,Master,Microengineering,Swiss,
28967,Mister,2013-2014,Bachelor,Computer Science,Swiss,
28968,Miss,2013-2014,Master,Architecture,Swiss,
28969,Miss,2013-2014,Master,Environmental Sciences and Engineering,French,
28970,Mister,2013-2014,Master,Electrical and Electronics Engineering,Swiss,
28971,Mister,2013-2014,Master,Microengineering,Swiss,
28972,Mister,2013-2014,Master,Civil Engineering,Italian,
28973,Miss,2013-2014,Master,Architecture,Swiss,
28974,Mister,2013-2014,Master,Applied Physics,Swiss,
28975,Mister,2013-2014,Master,Architecture,French,
28976,Mister,2013-2014,Master,Mechanical Engineering,Canadian,
28977,Mister,2013-2014,Bachelor,Microengineering,Swiss,
28978,Mister,2013-2014,Master,Electrical and Electronics Engineering,Swiss,
28979,Mister,2013-2014,Bachelor,Mechanical Engineering,Swiss,
28980,Miss,2013-2014,Bachelor,Architecture,Swiss,
28981,Miss,2013-2014,Master,Architecture,Swiss,
28982,Mister,2013-2014,Master,Microengineering,Swiss,
28983,Mister,2013-2014,Master,Chemical Engineering and Biotechnology,Swiss,
28984,Mister,2013-2014,Bachelor,Computer Science,Swiss,
28985,Mister,2013-2014,Master,Civil Engineering,Swiss,
28986,Mister,2013-2014,Master,Architecture,Swiss,
28987,Miss,2013-2014,Bachelor,Architecture,Swiss,
28988,Mister,2013-2014,Master,Bioengineering,Swiss,
28989,Mister,2013-2014,Master,Microengineering,Swiss,
28990,Mister,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
28991,Mister,2013-2014,Bachelor,Architecture,Swiss,
28992,Miss,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
28993,Mister,2013-2014,Bachelor,Architecture,Italian,
28994,Mister,2013-2014,Master,Microengineering,Swiss,
28995,Miss,2013-2014,Master,Architecture,Swiss,
28996,Mister,2013-2014,Bachelor,Architecture,Swiss,
28997,Mister,2013-2014,Master,Communication Systems,French,
28998,Mister,2013-2014,Master,Materials Science and Engineering,Swiss,
28999,Miss,2013-2014,Master,Architecture,Swiss,
29000,Miss,2013-2014,Master,Microengineering,Swiss,
29001,Miss,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
29002,Mister,2013-2014,Bachelor,Environmental Sciences and Engineering,Swiss,
29003,Mister,2013-2014,Master,Civil Engineering,Swiss,
29004,Mister,2013-2014,Bachelor,Environmental Sciences and Engineering,Swiss,
29005,Mister,2013-2014,Bachelor,Microengineering,Portuguese,
29006,Mister,2013-2014,Master,Microengineering,Swiss,
29007,Mister,2013-2014,Bachelor,Architecture,Swiss,
29008,Miss,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
29009,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29010,Mister,2013-2014,Bachelor,Computer Science,Swiss,
29011,Mister,2013-2014,Master,Chemical Engineering and Biotechnology,Swiss,
29012,Miss,2013-2014,Bachelor,Communication Systems,Swiss,
29013,Miss,2013-2014,Master,Life Sciences and Technologies,Swiss,
29014,Mister,2013-2014,Master,Mathematics,Swiss,
29015,Mister,2013-2014,Bachelor,Mathematics,Swiss,
29016,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29017,Mister,2013-2014,Master,Bioengineering,French,
29018,Mister,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
29019,Mister,2013-2014,Master,Applied Mathematics,Swiss,
29020,Miss,2013-2014,Bachelor,Architecture,Swiss,
29021,Mister,2013-2014,Bachelor,Chemistry and Chemical Engineering,Swiss,
29022,Mister,2013-2014,Bachelor,Communication Systems,Swiss,
29023,Mister,2013-2014,Bachelor,Electrical and Electronics Engineering,Swiss,
29024,Mister,2013-2014,Master,Microengineering,Swiss,
29025,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29026,Mister,2013-2014,Master,Civil Engineering,Swiss,
29027,Miss,2013-2014,Bachelor,Architecture,Iranian,
29028,Mister,2013-2014,Bachelor,Architecture,Swiss,
29029,Mister,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
29030,Mister,2013-2014,Master,Electrical and Electronics Engineering,Swiss,
29031,Mister,2013-2014,Master,Microengineering,Swiss,
29032,Mister,2013-2014,Master,Bioengineering,Swiss,
29033,Mister,2013-2014,Bachelor,Architecture,Swiss,
29034,Miss,2013-2014,Master,Molecular & Biological Chemistry,Swiss,
29035,Mister,2013-2014,Bachelor,Architecture,Swiss,
29036,Mister,2013-2014,Bachelor,Microengineering,Swiss,
29037,Mister,2013-2014,Master,Computer Science,Swiss,
29038,Mister,2013-2014,Master,Microengineering,Swiss,
29039,Mister,2013-2014,Master,Civil Engineering,Swiss,
29040,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29041,Mister,2013-2014,Bachelor,Architecture,Swiss,
29042,Mister,2013-2014,Master,Civil Engineering,Swiss,
29043,Mister,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
29044,Mister,2013-2014,Bachelor,Architecture,Swiss,
29045,Miss,2013-2014,Master,Civil Engineering,Swiss,
29046,Mister,2013-2014,Master,Computer Science,Swiss,
29047,Mister,2013-2014,Master,Civil Engineering,Swiss,
29048,Mister,2013-2014,Master,Mathematics,Swiss,
29049,Miss,2013-2014,Bachelor,Architecture,Swiss,
29050,Mister,2013-2014,Master,Microengineering,Swiss,
29051,Mister,2013-2014,Master,Civil Engineering,Swiss,
29052,Mister,2013-2014,Bachelor,Architecture,Swiss,
29053,Mister,2013-2014,Master,Communication Systems,Swiss,
29054,Mister,2013-2014,Bachelor,Architecture,Swiss,
29055,Mister,2013-2014,Master,Architecture,Swiss,
29056,Miss,2013-2014,Master,Architecture,Swiss,
29057,Mister,2013-2014,Bachelor,Communication Systems,Portuguese,
29058,Mister,2013-2014,Master,Materials Science and Engineering,Swiss,
29059,Mister,2013-2014,Bachelor,Environmental Sciences and Engineering,Swiss,
29060,Mister,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
29061,Mister,2013-2014,Master,Materials Science and Engineering,Swiss,
29062,Mister,2013-2014,Master,Physics,Swiss,
29063,Mister,2013-2014,Master,Electrical and Electronics Engineering,Swiss,
29064,Miss,2013-2014,Master,Mathematics,Swiss,
29065,Mister,2013-2014,Master,Civil Engineering,Swiss,
29066,Mister,2013-2014,Master,Mechanical Engineering,Belgian,
29067,Mister,2013-2014,Bachelor,Mechanical Engineering,Swiss,
29068,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29069,Mister,2013-2014,Master,Electrical and Electronics Engineering,Belgian,
29070,Mister,2013-2014,Master,Mathematics,Swiss,
29071,Miss,2013-2014,Master,Communication Systems,Swiss,
29072,Mister,2013-2014,Master,Communication Systems,French,
29073,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29074,Miss,2013-2014,Master,Chemical Engineering and Biotechnology,Swiss,
29075,Mister,2013-2014,Master,Architecture,Swiss,
29076,Miss,2013-2014,Master,Chemical Engineering and Biotechnology,Swiss,
29077,Miss,2013-2014,Master,Bioengineering,Swiss,
29078,Mister,2013-2014,Bachelor,Computer Science,Swiss,
29079,Mister,2013-2014,Master,Mechanical Engineering,Vietnamese,
29080,Mister,2013-2014,Master,Civil Engineering,Swiss,
29081,Mister,2013-2014,Master,Bioengineering,French,
29082,Miss,2013-2014,Master,Molecular & Biological Chemistry,Swiss,
29083,Miss,2013-2014,Master,Chemical Engineering and Biotechnology,Swiss,
29084,Mister,2013-2014,Master,Civil Engineering,Swiss,
29085,Mister,2013-2014,Master,Chemical Engineering and Biotechnology,Swiss,
29086,Mister,2013-2014,Master,Communication Systems,Swiss,
29087,Miss,2013-2014,Master,Civil Engineering,French,
29088,Mister,2013-2014,Bachelor,Computer Science,Swiss,
29089,Mister,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
29090,Mister,2013-2014,Master,Applied Physics,Swiss,
29091,Mister,2013-2014,Master,Physics,Swiss,
29092,Mister,2013-2014,Bachelor,Computer Science,Swiss,
29093,Mister,2013-2014,Master,Energy Management and Sustainability,Swiss,
29094,Mister,2013-2014,Bachelor,Mechanical Engineering,Swiss,
29095,Miss,2013-2014,Master,Civil Engineering,Swiss,
29096,Mister,2013-2014,Master,Microengineering,Swiss,
29097,Mister,2013-2014,Master,Microengineering,Swiss,
29098,Mister,2013-2014,Master,Civil Engineering,Swiss,
29099,Mister,2013-2014,Master,Microengineering,Swiss,
29100,Mister,2013-2014,Master,Life Sciences and Technologies,Swiss,
29101,Miss,2013-2014,Master,Bioengineering,French,
29102,Mister,2013-2014,Master,Civil Engineering,Swiss,
29103,Miss,2013-2014,Bachelor,Architecture,Swiss,
29104,Mister,2013-2014,Bachelor,Life Sciences and Technologies,French,
29105,Mister,2013-2014,Bachelor,Architecture,Swiss,
29106,Mister,2013-2014,Bachelor,Architecture,Swiss,
29107,Mister,2013-2014,Bachelor,Architecture,Swiss,
29108,Miss,2013-2014,Bachelor,Environmental Sciences and Engineering,French,
29109,Mister,2013-2014,Master,Applied Physics,Swiss,
29110,Mister,2013-2014,Bachelor,Architecture,Belgian,
29111,Mister,2013-2014,Master,Civil Engineering,French,
29112,Mister,2013-2014,Bachelor,Computer Science,French,
29113,Mister,2013-2014,Bachelor,Architecture,French,
29114,Miss,2013-2014,Master,Chemical Engineering and Biotechnology,French,
29115,Miss,2013-2014,Master,Life Sciences and Technologies,French,
29116,Miss,2013-2014,Master,Applied Physics,Swiss,
29117,Mister,2013-2014,Master,Environmental Sciences and Engineering,French,
29118,Mister,2013-2014,Master,Physics,French,
29119,Miss,2013-2014,Bachelor,Architecture,Swiss,
29120,Miss,2013-2014,Master,Architecture,French,
29121,Mister,2013-2014,Bachelor,Chemistry and Chemical Engineering,Swiss,
29122,Miss,2013-2014,Master,Bioengineering,Swiss,
29123,Mister,2013-2014,Bachelor,Architecture,Swiss,
29124,Mister,2013-2014,Master,Computer Science,Swiss,
29125,Miss,2013-2014,Bachelor,Architecture,Swiss,
29126,Mister,2013-2014,Master,Computational science and Engineering,Swiss,
29127,Mister,2013-2014,Master,Financial engineering,Tunisian,
29128,Miss,2013-2014,Bachelor,Chemistry and Chemical Engineering,Swiss,
29129,Miss,2013-2014,Bachelor,Mechanical Engineering,Swiss,
29130,Miss,2013-2014,Bachelor,Electrical and Electronics Engineering,Swiss,
29131,Miss,2013-2014,Bachelor,Architecture,Dutch,
29132,Mister,2013-2014,Bachelor,Life Sciences and Technologies,Swiss,
29133,Miss,2013-2014,Bachelor,Life Sciences and Technologies,Swiss,
29134,Mister,2013-2014,Bachelor,Communication Systems,Swiss,
29135,Mister,2013-2014,Master,Civil Engineering,Swiss,
29136,Mister,2013-2014,Bachelor,Microengineering,Swiss,
29137,Mister,2013-2014,Bachelor,Civil Engineering,Swiss,
29138,Mister,2013-2014,Bachelor,Architecture,Swiss,
29139,Mister,2013-2014,Master,Computer Science,Swiss,
29140,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29141,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29142,Miss,2013-2014,Bachelor,Architecture,Swiss,
29143,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29144,Mister,2013-2014,Bachelor,Microengineering,Swiss,
29145,Mister,2013-2014,Master,Civil Engineering,Swiss,
29146,Mister,2013-2014,Bachelor,Civil Engineering,Swiss,
29147,Mister,2013-2014,Master,Civil Engineering,Swiss,
29148,Miss,2013-2014,Master,Materials Science and Engineering,Swiss,
29149,Mister,2013-2014,Master,Financial engineering,Chinese,
29150,Mister,2013-2014,Master,Communication Systems,mexicaine,
29151,Mister,2013-2014,Master,Communication Systems,Swiss,
29152,Mister,2013-2014,Bachelor,Physics,French,
29153,Miss,2013-2014,Master,Bioengineering,French,
29154,Mister,2013-2014,Master,Financial engineering,Chinese,
29155,Mister,2013-2014,Master,Management,Turkish,
29156,Miss,2013-2014,Master,Molecular & Biological Chemistry,Italian,
29157,Mister,2013-2014,Master,Bioengineering,Swiss,
29158,Mister,2013-2014,Master,Computer Science,Belgian,
29159,Miss,2013-2014,Master,Electrical and Electronics Engineering,French,
29160,Mister,2013-2014,Bachelor,Mathematics,French,
29161,Miss,2013-2014,Bachelor,Life Sciences and Technologies,Swiss,
29162,Mister,2013-2014,Master,Mechanical Engineering,German,
29163,Mister,2013-2014,Bachelor,Architecture,Swiss,
29164,Mister,2013-2014,Bachelor,Architecture,Swiss,
29165,Mister,2013-2014,Bachelor,Communication Systems,Swiss,
29166,Mister,2013-2014,Bachelor,Computer Science,Swiss,
29167,Miss,2013-2014,Bachelor,Life Sciences and Technologies,Swiss,
29168,Mister,2013-2014,Bachelor,Architecture,Swiss,
29169,Mister,2013-2014,Bachelor,Mathematics,Swiss,
29170,Mister,2013-2014,Bachelor,Chemistry and Chemical Engineering,Swiss,
29171,Mister,2013-2014,Bachelor,Computer Science,Swiss,
29172,Mister,2013-2014,Bachelor,Communication Systems,Swiss,
29173,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29174,Mister,2013-2014,Bachelor,Architecture,Swiss,
29175,Miss,2013-2014,Master,Applied Physics,Swiss,
29176,Miss,2013-2014,Bachelor,Civil Engineering,Swiss,
29177,Mister,2013-2014,Bachelor,Computer Science,Swiss,
29178,Miss,2013-2014,Bachelor,Life Sciences and Technologies,Swiss,
29179,Miss,2013-2014,Bachelor,Architecture,Swiss,
29180,Miss,2013-2014,Master,Molecular & Biological Chemistry,Swiss,
29181,Miss,2013-2014,Master,Molecular & Biological Chemistry,Swiss,
29182,Miss,2013-2014,Bachelor,Civil Engineering,French,
29183,Mister,2013-2014,Bachelor,Physics,Swiss,
29184,Miss,2013-2014,Bachelor,Architecture,French,
29185,Mister,2013-2014,Bachelor,Architecture,Swiss,
29186,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29187,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29188,Mister,2013-2014,Master,Bioengineering,Belgian,
29189,Mister,2013-2014,Bachelor,Physics,Swiss,
29190,Mister,2013-2014,Master,Civil Engineering,Swiss,
29191,Miss,2013-2014,Master,Electrical and Electronics Engineering,Swiss,
29192,Mister,2013-2014,Bachelor,Electrical and Electronics Engineering,Finnish,
29193,Miss,2013-2014,Bachelor,Environmental Sciences and Engineering,Swiss,
29194,Mister,2013-2014,Bachelor,Architecture,Spanish,
29195,Mister,2013-2014,Bachelor,Architecture,Swiss,
29196,Mister,2013-2014,Master,Communication Systems,Swiss,
29197,Mister,2013-2014,Master,Bioengineering,Swiss,
29198,Mister,2013-2014,Bachelor,Microengineering,Swiss,
29199,Mister,2013-2014,Master,Computer Science,German,
29200,Mister,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
29201,Miss,2013-2014,Bachelor,Environmental Sciences and Engineering,Swiss,
29202,Miss,2013-2014,Bachelor,Architecture,Swiss,
29203,Mister,2013-2014,Master,Civil Engineering,Swiss,
29204,Mister,2013-2014,Master,Physics,Swiss,
29205,Mister,2013-2014,Master,Molecular & Biological Chemistry,Swiss,
29206,Mister,2013-2014,Bachelor,Computer Science,Swiss,
29207,Mister,2013-2014,Bachelor,Electrical and Electronics Engineering,Iranian,
29208,Mister,2013-2014,Master,Communication Systems,Swiss,
29209,Mister,2013-2014,Bachelor,Architecture,German,
29210,Mister,2013-2014,Master,Environmental Sciences and Engineering,French,
29211,Mister,2013-2014,Master,Bioengineering,Swiss,
29212,Mister,2013-2014,Bachelor,Civil Engineering,Swiss,
29213,Miss,2013-2014,Master,Civil Engineering,Swiss,
29214,Mister,2013-2014,Master,Computer Science,Swiss,
29215,Miss,2013-2014,Master,Mechanical Engineering,French,
29216,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29217,Mister,2013-2014,Master,Microengineering,Swiss,
29218,Mister,2013-2014,Bachelor,Civil Engineering,Swiss,
29219,Mister,2013-2014,Master,Bioengineering,Swiss,
29220,Mister,2013-2014,Master,Electrical and Electronics Engineering,Swiss,
29221,Mister,2013-2014,Master,Civil Engineering,Swiss,
29222,Mister,2013-2014,Bachelor,Architecture,French,
29223,Mister,2013-2014,Bachelor,Microengineering,French,
29224,Mister,2013-2014,Bachelor,Life Sciences and Technologies,Swiss,
29225,Miss,2013-2014,Bachelor,Architecture,Swiss,
29226,Mister,2013-2014,Bachelor,Materials Science and Engineering,Swiss,
29227,Mister,2013-2014,Bachelor,Chemistry and Chemical Engineering,Swiss,
29228,Mister,2013-2014,Bachelor,Electrical and Electronics Engineering,Turkish,
29229,Mister,2013-2014,Bachelor,Architecture,Portuguese,
29230,Mister,2013-2014,Bachelor,Chemistry and Chemical Engineering,Swiss,
29231,Miss,2013-2014,Bachelor,Life Sciences and Technologies,Swiss,
29232,Mister,2013-2014,Master,Civil Engineering,French,
29233,Miss,2013-2014,Master,Applied Physics,French,
29234,Miss,2013-2014,Master,Civil Engineering,Swiss,
29235,Miss,2013-2014,Master,Bioengineering,Swiss,
29236,Mister,2013-2014,Bachelor,Mechanical Engineering,French,
29237,Miss,2013-2014,Bachelor,Architecture,French,
29238,Mister,2013-2014,Bachelor,Physics,Swiss,
29239,Miss,2013-2014,Master,Communication Systems,Tunisian,
29240,Mister,2013-2014,Master,Mechanical Engineering,French,
29241,Miss,2013-2014,Bachelor,Life Sciences and Technologies,Swiss,
29242,Mister,2013-2014,Master,Materials Science and Engineering,Swiss,
29243,Mister,2013-2014,Master,Civil Engineering,Swiss,
29244,Mister,2013-2014,Bachelor,Architecture,Swiss,
29245,Mister,2013-2014,Master,Communication Systems,Swiss,
29246,Mister,2013-2014,Bachelor,Architecture,Swiss,
29247,Mister,2013-2014,Bachelor,Mechanical Engineering,Swiss,
29248,Mister,2013-2014,Bachelor,Architecture,Swiss,
29249,Mister,2013-2014,Master,Applied Physics,Swiss,
29250,Mister,2013-2014,Master,Applied Physics,Swiss,
29251,Miss,2013-2014,Master,Applied Physics,Swiss,
29252,Mister,2013-2014,Master,Microengineering,Swiss,
29253,Mister,2013-2014,Master,Civil Engineering,Swiss,
29254,Miss,2013-2014,Master,Bioengineering,Swiss,
29255,Mister,2013-2014,Bachelor,Chemistry and Chemical Engineering,Swiss,
29256,Mister,2013-2014,Bachelor,Computer Science,Swiss,
29257,Miss,2013-2014,Bachelor,Architecture,Swiss,
29258,Mister,2013-2014,Bachelor,Chemistry and Chemical Engineering,Moroccan,
29259,Mister,2013-2014,Bachelor,Electrical and Electronics Engineering,Tunisian,
29260,Miss,2013-2014,Bachelor,Architecture,Swiss,
29261,Mister,2013-2014,Bachelor,Materials Science and Engineering,French,
29262,Mister,2013-2014,Bachelor,Physics,Swiss,
29263,Mister,2013-2014,Master,Computer Science,Swiss,
29264,Mister,2013-2014,Bachelor,Architecture,Swiss,
29265,Mister,2013-2014,Master,Energy Management and Sustainability,Swiss,
29266,Mister,2013-2014,Bachelor,Physics,Swiss,
29267,Mister,2013-2014,Bachelor,Physics,Moroccan,
29268,Mister,2013-2014,Bachelor,Materials Science and Engineering,French,
29269,Miss,2013-2014,Bachelor,Architecture,French,
29270,Mister,2013-2014,Bachelor,Architecture,French,
29271,Mister,2013-2014,Bachelor,Materials Science and Engineering,French,
29272,Miss,2013-2014,Bachelor,Life Sciences and Technologies,Swiss,
29273,Mister,2013-2014,Bachelor,Communication Systems,Belgian,
29274,Miss,2013-2014,Bachelor,Chemistry and Chemical Engineering,Tunisian,
29275,Mister,2013-2014,Bachelor,Communication Systems,Tunisian,
29276,Miss,2013-2014,Bachelor,Communication Systems,French,
29277,Mister,2013-2014,Bachelor,Computer Science,French,
29278,Mister,2013-2014,Bachelor,Communication Systems,French,
29279,Miss,2013-2014,Bachelor,Physics,Swiss,
29280,Mister,2013-2014,Bachelor,Microengineering,Mauritian,
29281,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29282,Miss,2013-2014,Bachelor,Microengineering,Swiss,
29283,Mister,2013-2014,Bachelor,Architecture,Swiss,
29284,Miss,2013-2014,Bachelor,Architecture,Swiss,
29285,Miss,2013-2014,Bachelor,Architecture,Swiss,
29286,Mister,2013-2014,Bachelor,Chemistry and Chemical Engineering,Tunisian,
29287,Mister,2013-2014,Bachelor,Physics,French,
29288,Mister,2013-2014,Bachelor,Mathematics,Moroccan,
29289,Mister,2013-2014,Bachelor,Civil Engineering,Swiss,
29290,Miss,2013-2014,Bachelor,Life Sciences and Technologies,Iranian,
29291,Miss,2013-2014,Bachelor,Life Sciences and Technologies,French,
29292,Mister,2013-2014,Bachelor,Environmental Sciences and Engineering,French,
29293,Mister,2013-2014,Bachelor,Civil Engineering,French,
29294,Mister,2013-2014,Bachelor,Architecture,Swiss,
29295,Miss,2013-2014,Bachelor,Mathematics,Swiss,
29296,Mister,2013-2014,Bachelor,Mechanical Engineering,Swiss,
29297,Miss,2013-2014,Master,Bioengineering,Swiss,
29298,Mister,2013-2014,Master,Applied Mathematics,South Korean,
29299,Mister,2013-2014,Master,Communication Systems,Swiss,
29300,Miss,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
29301,Mister,2013-2014,Bachelor,Architecture,Swiss,
29302,Miss,2013-2014,Bachelor,Life Sciences and Technologies,Swiss,
29303,Mister,2013-2014,Master,Applied Mathematics,Italian,
29304,Mister,2013-2014,Master,Chemical Engineering and Biotechnology,British,
29305,Mister,2013-2014,Bachelor,Physics,Swiss,
29306,Miss,2013-2014,Bachelor,Civil Engineering,Lebanese,
29307,Mister,2013-2014,Bachelor,Civil Engineering,French,
29308,Miss,2013-2014,Bachelor,Architecture,Greek,
29309,Mister,2013-2014,Bachelor,Microengineering,French,
29310,Mister,2013-2014,Master,Mechanical Engineering,luxembourgish,
29311,Miss,2013-2014,Master,Computer Science,Indian,
29312,Miss,2013-2014,Master,Physics,Swiss,
29313,Mister,2013-2014,Bachelor,Architecture,Swiss,
29314,Mister,2013-2014,Bachelor,Electrical and Electronics Engineering,Swiss,
29315,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29316,Mister,2013-2014,Bachelor,Mechanical Engineering,Iranian,
29317,Miss,2013-2014,Bachelor,Architecture,Swiss,
29318,Miss,2013-2014,Bachelor,Mathematics,Swiss,
29319,Mister,2013-2014,Bachelor,Computer Science,Swiss,
29320,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29321,Mister,2013-2014,Master,Materials Science and Engineering,Swiss,
29322,Mister,2013-2014,Bachelor,Mechanical Engineering,Swiss,
29323,Mister,2013-2014,Bachelor,Architecture,Swiss,
29324,Mister,2013-2014,Master,Mathematics,Swiss,
29325,Mister,2013-2014,Bachelor,Physics,Swiss,
29326,Mister,2013-2014,Bachelor,Computer Science,Swiss,
29327,Mister,2013-2014,Bachelor,Mathematics,Swiss,
29328,Miss,2013-2014,Master,Management,mexicaine,
29329,Miss,2013-2014,Bachelor,Architecture,luxembourgish,
29330,Mister,2013-2014,Master,Mathematics,French,
29331,Mister,2013-2014,Passerelle HES,Passerelle HES,Senegalese,
29332,Miss,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
29333,Mister,2013-2014,Master,Applied Physics,Swiss,
29334,Miss,2013-2014,Master,Materials Science and Engineering,Swiss,
29335,Mister,2013-2014,Master,Bioengineering,Swiss,
29336,Mister,2013-2014,Master,Civil Engineering,Swiss,
29337,Miss,2013-2014,Bachelor,Architecture,Swiss,
29338,Miss,2013-2014,Bachelor,Architecture,Swiss,
29339,Mister,2013-2014,Bachelor,Architecture,Swiss,
29340,Mister,2013-2014,Bachelor,Mathematics,Swiss,
29341,Mister,2013-2014,Bachelor,Microengineering,Tunisian,
29342,Miss,2013-2014,Master,Bioengineering,French,
29343,Mister,2013-2014,Bachelor,Electrical and Electronics Engineering,Swiss,
29344,Mister,2013-2014,Master,Materials Science and Engineering,Swiss,
29345,Mister,2013-2014,Master,Applied Mathematics,Swiss,
29346,Miss,2013-2014,Master,Life Sciences and Technologies,Swiss,
29347,Miss,2013-2014,Bachelor,Architecture,German,
29348,Mister,2013-2014,Bachelor,Communication Systems,Swiss,
29349,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29350,Mister,2013-2014,Master,Civil Engineering,Swiss,
29351,Miss,2013-2014,Master,Molecular & Biological Chemistry,French,
29352,Miss,2013-2014,Bachelor,Environmental Sciences and Engineering,Swiss,
29353,Miss,2013-2014,Master,Chemical Engineering and Biotechnology,French,
29354,Mister,2013-2014,Bachelor,Microengineering,Swedish,
29355,Miss,2013-2014,Master,Life Sciences and Technologies,Swiss,
29356,Mister,2013-2014,Bachelor,Mechanical Engineering,Swiss,
29357,Mister,2013-2014,Bachelor,Physics,French,
29358,Mister,2013-2014,Master,Chemical Engineering and Biotechnology,French,
29359,Miss,2013-2014,Master,Environmental Sciences and Engineering,French,
29360,Miss,2013-2014,Bachelor,Architecture,French,
29361,Mister,2013-2014,Master,Microengineering,French,
29362,Mister,2013-2014,Bachelor,Architecture,Swiss,
29363,Mister,2013-2014,Master,Life Sciences and Technologies,Swiss,
29364,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29365,Mister,2013-2014,Master,Microengineering,Swiss,
29366,Mister,2013-2014,Bachelor,Mechanical Engineering,Swiss,
29367,Mister,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
29368,Mister,2013-2014,Bachelor,Environmental Sciences and Engineering,Swiss,
29369,Mister,2013-2014,Bachelor,Microengineering,Swiss,
29370,Mister,2013-2014,Master,Molecular & Biological Chemistry,Swiss,
29371,Mister,2013-2014,Master,Financial engineering,French,
29372,Mister,2013-2014,Master,Financial engineering,French,
29373,Mister,2013-2014,Bachelor,Mathematics,Swiss,
29374,Mister,2013-2014,Master,Computer Science,French,
29375,Miss,2013-2014,Bachelor,Architecture,Swiss,
29376,Mister,2013-2014,Bachelor,Materials Science and Engineering,Swiss,
29377,Miss,2013-2014,Bachelor,Chemistry and Chemical Engineering,Swiss,
29378,Miss,2013-2014,Master,Materials Science and Engineering,Swiss,
29379,Mister,2013-2014,Bachelor,Architecture,Swiss,
29380,Miss,2013-2014,Bachelor,Architecture,Swiss,
29381,Mister,2013-2014,Bachelor,Microengineering,Swiss,
29382,Mister,2013-2014,Bachelor,Microengineering,Swiss,
29383,Mister,2013-2014,Master,Physics,Swiss,
29384,Miss,2013-2014,Bachelor,Life Sciences and Technologies,Swiss,
29385,Mister,2013-2014,Bachelor,Mechanical Engineering,French,
29386,Mister,2013-2014,Bachelor,Materials Science and Engineering,French,
29387,Mister,2013-2014,Bachelor,Civil Engineering,Moroccan,
29388,Mister,2013-2014,Bachelor,Physics,Italian,
29389,Miss,2013-2014,Bachelor,Communication Systems,Swiss,
29390,Mister,2013-2014,Bachelor,Architecture,Swiss,
29391,Mister,2013-2014,Bachelor,Electrical and Electronics Engineering,Swiss,
29392,Mister,2013-2014,Master,Microengineering,Swiss,
29393,Miss,2013-2014,Master,Materials Science and Engineering,Swiss,
29394,Mister,2013-2014,Bachelor,Materials Science and Engineering,Swiss,
29395,Mister,2013-2014,Master,Physics,Swiss,
29396,Mister,2013-2014,Bachelor,Mathematics,Swiss,
29397,Mister,2013-2014,Master,Environmental Sciences and Engineering,Swiss,
29398,Mister,2013-2014,Bachelor,Computer Science,Swiss,
29399,Mister,2013-2014,Master,Mechanical Engineering,Swiss,
29400,Miss,2013-2014,Bachelor,Environmental Sciences and Engineering,Swiss,
29401,Miss,2013-2014,Master,Bioengineering,Swiss,
29402,Mister,2013-2014,Master,Civil Engineering,Swiss,
29403,Mister,2013-2014,Bachelor,Materials Science and Engineering,Swiss,
29404,Mister,2013-2014,Master,Mechanical Engineering,French,
